Agency,State,State_id
Abbeville Police Department?4],Alabama,1
Albertville City Police Department?5],Alabama,1
Aliceville City Police Department?6],Alabama,1
Alabaster Police Department?7],Alabama,1
Alexander City Police Department?8],Alabama,1
Altoona Police Department?9],Alabama,1
Andalusia Police Department?10],Alabama,1
Arab Police Department?11],Alabama,1
Ashford Police Department?12],Alabama,1
Ashville Police Department?13],Alabama,1
Atmore Police Department,Alabama,1
Bay Minette Police Department,Alabama,1
Bessemer Police Department,Alabama,1
Birmingham Police Department,Alabama,1
Boaz Police Department,Alabama,1
Bridgeport Police Department,Alabama,1
Bull Shoals Police Department,Alabama,1
Calera Police Department,Alabama,1
Camp Hill Police Department,Alabama,1
Cherokee Police Department,Alabama,1
Columbia Police Department,Alabama,1
Courtland Police Department,Alabama,1
Chatom Police Department,Alabama,1
Citronelle Police Department,Alabama,1
Cottonwood Police Department,Alabama,1
Dadeville Police Department,Alabama,1
Daphne Police Department,Alabama,1
Decatur Police Department,Alabama,1
Demopolis Police Department,Alabama,1
Dothan Police Department,Alabama,1
Enterprise Police Department,Alabama,1
Eufala Police Department,Alabama,1
Fairfield Police Department,Alabama,1
Florence Police Department[14],Alabama,1
Fort Payne Police Department,Alabama,1
Gardendale Police Department,Alabama,1
Guin Police Department,Alabama,1
Guntersville Police Department,Alabama,1
Gurley Police Department,Alabama,1
Hamilton Police Department,Alabama,1
Hanceville Police Department,Alabama,1
Heflin Police Department,Alabama,1
Hillsboro Police Department,Alabama,1
Homewood Police Department,Alabama,1
Hoover Police Department,Alabama,1
Huntsville International Airport Police Department,Alabama,1
Huntsville Police Department,Alabama,1
Hueytown Police Department,Alabama,1
Jacksonville Police Department,Alabama,1
Kinston Police Department,Alabama,1
Lanett Police Department,Alabama,1
Leeds Police Department,Alabama,1
Lincoln Police Department,Alabama,1
Madison Police Department?15],Alabama,1
Millbrook Police Department,Alabama,1
Mobile Police Department,Alabama,1
Montgomery Police Department,Alabama,1
Moulton Police Department,Alabama,1
Moody Police Department,Alabama,1
Mount Vernon Police Department,Alabama,1
North Courtland Police Department,Alabama,1
Northport Police Department,Alabama,1
Orange Beach Police Department,Alabama,1
Pelham Police Department?16],Alabama,1
Pelham Fire Marshal,Alabama,1
Pelham School Resource Officers,Alabama,1
Pinedale Shores Private Police,Alabama,1
Town Creek Police Department,Alabama,1
Tuscaloosa Police Department?17],Alabama,1
Saginaw Police Department,Alabama,1
Webb Police Department,Alabama,1
Alabama Alcoholic Beverage Control Police,Alabama,1
Alabama Attorney General's Office,Alabama,1
Alabama Criminal Justice Information Center,Alabama,1
Alabama Department of Conservation and Natural Resources,Alabama,1
Alabama Department of Homeland Security,Alabama,1
Alabama Marine Resources Division,Alabama,1
Alabama Marine Police,Alabama,1
Alabama Wildlife and Freshwater Fisheries Division,Alabama,1
Conservation Enforcement Division,Alabama,1
Alabama State Parks Ranger Service,Alabama,1
Alabama State Lands Security,Alabama,1
Alabama Department of Corrections,Alabama,1
Alabama Revenue Enforcement,Alabama,1
Alabama Department of Mental Health Police,Alabama,1
Bureau of Special Investigations,Alabama,1
Alabama Department of Public Safety,Alabama,1
Alabama Bureau of Investigation,Alabama,1
Alabama Highway Patrol,Alabama,1
Alabama Capitol Police,Alabama,1
Alabama Protective Services,Alabama,1
Alabama Executive Security Unit,Alabama,1
Alabama Securities Commission,Alabama,1
Alabama State Port Authority Police,Alabama,1
Alabama Department of Insurance,Alabama,1
State Fire Marshal's Office,Alabama,1
Alaska Department of Corrections[2],Alaska,2
Alaska Department of Environmental Conservation,Alaska,2
Alaska Department of Public Safety[3],Alaska,2
Alaska Alcoholic Beverage Control Board,Alaska,2
Alaska State Crime Lab,Alaska,2
Alaska State Fire Marshal's Office,Alaska,2
Alaska State Troopers[4],Alaska,2
Village Public Safety Officer Program,Alaska,2
Wildlife Enforcement Troopers**,Alaska,2
Alaska Court Services Officers,Alaska,2
Alaska State Parks,Alaska,2
Alaska State Park Rangers,Alaska,2
Alaska Commercial Vehicle Enforcement,Alaska,2
Adak Police Department,Alaska,2
Anchorage Police Department[7],Alaska,2
Angoon Public Safety Department,Alaska,2
Bethel Police Department[8],Alaska,2
Chignik Bay Department of Public Safety[citation needed],Alaska,2
Cordova Police Department[9],Alaska,2
Craig Police Department[10],Alaska,2
Dillingham Police Department[11],Alaska,2
Fairbanks Police Department[12],Alaska,2
Fort Yukon Police Department[13],Alaska,2
Galena Police Department[14],Alaska,2
Haines Police Department[15],Alaska,2
Homer Police Department[16],Alaska,2
Hoonah Police Department[17],Alaska,2
Hooper Bay Police Department[18],Alaska,2
Houston Police Department[19],Alaska,2
Juneau Police Department[20],Alaska,2
Kake Police Department[21],Alaska,2
Kenai Police Department[22],Alaska,2
Ketchikan Police Department[23],Alaska,2
King Cove Police Department[24],Alaska,2
Klawock Police Department[25],Alaska,2
Kodiak Police Department[26],Alaska,2
Kotzebue Police Department[27],Alaska,2
Nenana Police Department,Alaska,2
Nome Police Department[28],Alaska,2
North Pole Police Department[29],Alaska,2
Palmer Police Department[30],Alaska,2
Petersburg Police Department[31],Alaska,2
Pilot Station Police Department[citation needed],Alaska,2
Port Lions Department of Public Safety[citation needed],Alaska,2
Saint Paul Department of Public Safety[32],Alaska,2
Sand Point Department of Public Safety[33],Alaska,2
Seldovia Police Department[34],Alaska,2
Seward Police Department[35],Alaska,2
Sitka Police Department[36],Alaska,2
Skagway Police Department[37],Alaska,2
Soldotna Police Department[38],Alaska,2
Tanana Department of Public Safety[39],Alaska,2
Togiak Police Department[40],Alaska,2
Unalakleet Department of Public Safety[41],Alaska,2
Unalaska Department of Public Safety[42],Alaska,2
Valdez Police Department[43],Alaska,2
Wasilla Police Department[44],Alaska,2
Whittier Police Department[45],Alaska,2
Wrangell Police Department[46],Alaska,2
Yakutat Police Department[47],Alaska,2
Arizona Counter Terrorism Information Center,Arizona,3
Arizona Department of Administration (ADOA),Arizona,3
Arizona Department of Corrections(DOC),Arizona,3
Arizona Division of Emergency Management,Arizona,3
Arizona Department of Revenue Criminal Investigations Unit,Arizona,3
Arizona Department of Homeland Security,Arizona,3
Arizona Department of Transportation (ADOT),Arizona,3
Enforcement and Compliance Division (ECD),Arizona,3
Arizona Department of Public Safety (DPS),Arizona,3
Arizona State Capitol Police,Arizona,3
Arizona Highway Patrol (DPS),Arizona,3
Arizona Rangers,Arizona,3
Agency Support Division,Arizona,3
Criminal Investigations Division (CID),Arizona,3
Technical Services Division (TSD),Arizona,3
Arizona Commercial Vehicle Enforcement,Arizona,3
Arizona Game and Fish Department,Arizona,3
Arizona State Park Ranger Police,Arizona,3
Arizona Constables Department,Arizona,3
Apache Junction Police Department [3],Arizona,3
Avondale Police Department [4],Arizona,3
Benson Police Department [5],Arizona,3
Bisbee Police Department,Arizona,3
Buckeye Police Department,Arizona,3
Bullhead City Police Department,Arizona,3
Bylas Police Department,Arizona,3
Camp Verde Marshal's Office,Arizona,3
Capitol Police Department,Arizona,3
Casa Grande Police Department,Arizona,3
Chandler Police Department,Arizona,3
Chino Valley Police Department,Arizona,3
Clarkdale Police Department,Arizona,3
Clifton Police Department,Arizona,3
Coolidge Police Department,Arizona,3
Cottonwood Police Department [6],Arizona,3
Douglas Police Department,Arizona,3
Eagar Police Department,Arizona,3
El Mirage Police Department,Arizona,3
Eloy Police Department,Arizona,3
Flagstaff Police Department [7],Arizona,3
Florence Police Department,Arizona,3
Fredonia Marshal's Office,Arizona,3
Gila River Police Department,Arizona,3
Gilbert Police Department,Arizona,3
Glendale Police Department,Arizona,3
Glendale Park Rangers,Arizona,3
Globe Police Department,Arizona,3
Goodyear Police Department [8],Arizona,3
Hayden Police Department,Arizona,3
Holbrook Police Department,Arizona,3
Huachuca City Police Department,Arizona,3
Jerome Police Department,Arizona,3
Keams Canyon Police Department,Arizona,3
Kearny Police Department,Arizona,3
Mammoth Police Department,Arizona,3
Marana Police Department,Arizona,3
Mesa Police Department [9],Arizona,3
Miami Police Department,Arizona,3
Navajo Co Sheriff's Office,Arizona,3
Nogales Police Department,Arizona,3
Oro Valley Police Department,Arizona,3
Page Police Department,Arizona,3
Paradise Valley Police Department,Arizona,3
Parker Police Department,Arizona,3
Patagonia Police Department,Arizona,3
Payson Police Department,Arizona,3
Peoria Police Department,Arizona,3
Phoenix Police Department [10],Arizona,3
Phoenix Park Rangers,Arizona,3
Phoenix Transit Service,Arizona,3
Pima Police Department,Arizona,3
Pinetop-Lakeside Police Department,Arizona,3
Prescott Police Department,Arizona,3
Prescott Valley Police Department,Arizona,3
Safford Police Department,Arizona,3
Sahuarita Police Department,Arizona,3
Salt River Police Department,Arizona,3
San Luis Police Department,Arizona,3
Scottsdale Police Department,Arizona,3
Sedona Police Department,Arizona,3
Show Low Police Department,Arizona,3
Sierra Vista Police Department,Arizona,3
Snowflake-Taylor Police Department,Arizona,3
Somerton Police Department,Arizona,3
South Tucson Police Department,Arizona,3
Springerville Police Department,Arizona,3
St Johns Police Department,Arizona,3
Superior Police Department,Arizona,3
Surprise Police Department,Arizona,3
Tempe Police Department,Arizona,3
Thatcher Police Department,Arizona,3
Tolleson Police Department,Arizona,3
Tombstone Marshal's Office,Arizona,3
Tucson Police Department [11],Arizona,3
Wickenburg Police Department,Arizona,3
Willcox Police Department,Arizona,3
Williams Police Department,Arizona,3
Winslow Police Department,Arizona,3
Youngtown Police Department,Arizona,3
Yuma Police Department,Arizona,3
Arkansas Alcohol Beverage Control Enforcement,Arkansas,4
Arkansas Department of Community Corrections,Arkansas,4
Arkansas Department of Correction,Arkansas,4
Arkansas Forestry Commission,Arkansas,4
Arkansas Game and Fish Commission,Arkansas,4
Arkansas Highway Police,Arkansas,4
Arkansas Law Enforcement Commission on Standards and Training,Arkansas,4
Arkansas Law Enforcement Training Academy (East Camden),Arkansas,4
Arkansas Law Enforcement Training Academy (Northwest Arkansas),Arkansas,4
Arkansas State Capitol Police,Arkansas,4
Arkansas State Crime Laboratory,Arkansas,4
Arkansas State Forestry Commission Rangers,Arkansas,4
Arkansas State Hospital Police,Arkansas,4
Arkansas State Park Rangers,Arkansas,4
Arkansas State Parole and Probation,Arkansas,4
Arkansas State Police,Arkansas,4
Arkansas Tobacco Control Board Enforcement,Arkansas,4
Arkansas Crime Information Center,Arkansas,4
Arkansas Insurance Department(Criminal Investigations),Arkansas,4
Alexander Police Department [2],Arkansas,4
Alma Police Department [3],Arkansas,4
Altheimer Police Department[citation needed],Arkansas,4
Altus Police Department[citation needed],Arkansas,4
Amity Police Department[citation needed],Arkansas,4
Arkadelphia Police Department [4],Arkansas,4
Ash Flat Police Department [5],Arkansas,4
Ashdown Police Department[citation needed],Arkansas,4
Atkins Police Department[citation needed],Arkansas,4
Augusta Police Department[citation needed],Arkansas,4
Austin Police Department,Arkansas,4
Bald Knob Police Department,Arkansas,4
Barling Police Department,Arkansas,4
Bauxite Police Department,Arkansas,4
Bay Police Department,Arkansas,4
Bearden Police Department,Arkansas,4
Beebe Police Department,Arkansas,4
Bella Vista Police Department,Arkansas,4
Benton Police Department,Arkansas,4
Bentonville Police Department,Arkansas,4
Berryville Police Department,Arkansas,4
Black Rock Police Department,Arkansas,4
Blytheville Police Department,Arkansas,4
Bono Police Department,Arkansas,4
Booneville Police Department,Arkansas,4
Bradford Police Department,Arkansas,4
Bradley Police Department,Arkansas,4
Brinkley Police Department,Arkansas,4
Bryant Police Department,Arkansas,4
Bull Shoals Police Department,Arkansas,4
Cabot Police Department,Arkansas,4
Calion Police Department,Arkansas,4
Camden Police Department,Arkansas,4
Cammack Village Police Department,Arkansas,4
Camp Robinson Police Department,Arkansas,4
Caraway Police Department,Arkansas,4
Carlisle Police Department,Arkansas,4
Cave City Police Department,Arkansas,4
Cave Springs Police Department,Arkansas,4
Centerton Police Department,Arkansas,4
Charleston Police Department,Arkansas,4
Cherokee Village Police Department,Arkansas,4
Cherry Valley Police Department,Arkansas,4
Chidester Police Department,Arkansas,4
Clarendon Police Department,Arkansas,4
Clarksville Police Department,Arkansas,4
Clay County Constable,Arkansas,4
Clinton Police Department,Arkansas,4
Coal Hill Police Department,Arkansas,4
College City Marshal,Arkansas,4
Conway Police Department,Arkansas,4
Corning Police Department,Arkansas,4
Cotter Police Department,Arkansas,4
Cotton Plant Police Department,Arkansas,4
Crossett Police Department,Arkansas,4
Danville Police Department,Arkansas,4
Dardanelle Police Department,Arkansas,4
